id_str,created_at,from_user,text,CLEAN,Hashtags,TARGET
519040991580676000,Mon Oct 06 08:26:30 +0000 2014,ClaireArielle,"RT @seeksanusername: Selon @gonzagauthier, le musée doit être également prescripteur des usages numériques #RencNum",RT @seeksanusername  Selon @gonzagauthier  le musée doit être également prescripteur des usages numériques #RencNum, #RencNum, @seeksanusername @gonzagauthier 
519040990293033000,Mon Oct 06 08:26:30 +0000 2014,anachasse,"Logique de @centrepompidou : structurer des contenus pour préparer des nouveaux usages, pas encore imaginés aujourd'hui. #RencNum",Logique de @centrepompidou   structurer des contenus pour préparer des nouveaux usages  pas encore imaginés aujourd hui  #RencNum, #RencNum, @centrepompidou 
519040958835749000,Mon Oct 06 08:26:22 +0000 2014,Comculturelle,Pour @gonzagauthier le musée doit toujours être conscient de son rôle de prescripteur. #RencNum,Pour @gonzagauthier le musée doit toujours être conscient de son rôle de prescripteur  #RencNum, #RencNum, @gonzagauthier 
519040958055608000,Mon Oct 06 08:26:22 +0000 2014,Cleliadh,Ouverture de données : des ressources y @centrepompidou disponibles sur http://t.co/l6y4REMlrP #RencNum,Ouverture de données   des ressources y @centrepompidou disponibles sur http   t co l6y4REMlrP #RencNum, #RencNum, @centrepompidou 
519040947381088000,Mon Oct 06 08:26:19 +0000 2014,Ne10,RT @Lilmount: A suivre de près ! RT @Cleliadh: Deux années d'expérimentations avec des lycéens sur twitter ; des parcours-tweets au musée #…,RT @Lilmount  A suivre de près   RT @Cleliadh  Deux années d expérimentations avec des lycéens sur twitter   des parcours tweets au musée #…, #…, @Lilmount @Cleliadh 
519040911326859000,Mon Oct 06 08:26:11 +0000 2014,Chabadie,"Auj. les contenus sont sur le site, demain sur l'éduthèque, et après... #RencNum",Auj  les contenus sont sur le site  demain sur l éduthèque  et après    #RencNum, #RencNum, 
519040865671868000,Mon Oct 06 08:26:00 +0000 2014,Lilmount,A suivre de près ! RT @Cleliadh: Deux années d'expérimentations avec des lycéens sur twitter ; des parcours-tweets au musée #RencNum,A suivre de près   RT @Cleliadh  Deux années d expérimentations avec des lycéens sur twitter   des parcours tweets au musée #RencNum, #RencNum, @Cleliadh 
519040666719257000,Mon Oct 06 08:25:12 +0000 2014,ClaireArielle,"RT @MuCEM_Officiel: Le @MuCEM_Officiel est présent aux ""Rencontres Culture Numérique"" qui se déroulent au @centrepompidou les 6 &amp; 7 oct &gt; S…",RT @MuCEM_Officiel  Le @MuCEM_Officiel est présent aux  Rencontres Culture Numérique  qui se déroulent au @centrepompidou les 6 &amp  7 oct &gt  S…, , @MuCEM_Officiel @MuCEM_Officiel @centrepompidou 
519040649690378000,Mon Oct 06 08:25:08 +0000 2014,RolandAntoine,RT @AMCSTI: #RencNum L'offre éducative du @centrepompidou investira le portail Eduthéque : ressources pédagogiques http://t.co/sc78aaQUA6,RT @AMCSTI  #RencNum L offre éducative du @centrepompidou investira le portail Eduthéque   ressources pédagogiques http   t co sc78aaQUA6, #RencNum , @AMCSTI @centrepompidou 
519040642715251000,Mon Oct 06 08:25:07 +0000 2014,ClaireArielle,"RT @comcomclaire: #RencNum Le @centrepompidou ouvre le bal pr présenter sa politique numérique. Pas une présence ""à tous les étages"" selon …",RT @comcomclaire  #RencNum Le @centrepompidou ouvre le bal pr présenter sa politique numérique  Pas une présence  à tous les étages  selon …, #RencNum , @comcomclaire @centrepompidou 
