id_str,from_user,time,text,Target,hashtags
519533622617845760,DarioMolaro,07/10/2014 18:04:02,"https://t.co/XKjHZnQ07a
#EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag", ," #EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag"
519464343524868097,sebdaniel,07/10/2014 13:28:45,"#RencNum #TMNlab T.Leonardi ""Faut-il nous rapprocher de @BlaBlaCar_FR et @MinistereCC afin de faire décoller un projet commun aux théâtres?""", @BlaBlaCar_FR @MinistereCC ,#RencNum #TMNlab 
519464323014754305,_omr,07/10/2014 13:28:40,"#rencnum #muzeonum les ""gentils"" contributeurs du @museecluny en image ! #médiéval http://t.co/Tp0ytyjDRo", @museecluny ,#rencnum #muzeonum #médiéval 
519464322565947392,celinesalvetat,07/10/2014 13:28:40,RT @Loic_Laborde: #RencNum #Muzeonum et voilà les gentils contributeurs du musée de Cluny http://t.co/uDRKDPg4Ig, @Loic_Laborde , #RencNum #Muzeonum 
519464304555610113,mrgx_a,07/10/2014 13:28:36,"RT @Chabadie: Contributeurs : étudiants, passionnés, pers. sensibles à la médiation + que com, pas tous faliliers des outils numériques #Re…", @Chabadie , #Re…
519464294912897024,Stylegenre,07/10/2014 13:28:33,"Contributeurs volontaires : étudiants-médiateurs, stagiaires ; sensibles à l'exigence sctfq et pas trop susceptibles ! #RencNum #Muzeonum", , #RencNum #Muzeonum
519464290391429123,chrystelou,07/10/2014 13:28:32,RT @TMNlab: La  plateforme Covoituragepoursortir.fr #operadelyon encore en ligne pour 2 ans.  #RencNum #TMNlab, @TMNlab , #operadelyon #RencNum #TMNlab
519464270409760768,AuroreGallarino,07/10/2014 13:28:27,"RT @Chabadie: Contributeurs : étudiants, passionnés, pers. sensibles à la médiation + que com, pas tous faliliers des outils numériques #Re…", @Chabadie , #Re…
519464270221049857,chrystelou,07/10/2014 13:28:27,"RT @NicoGlayzon: Bon, 2e constat d'échec avec la plate-forme covoiturage de l#OperadeLyon, après #Groundz... Hauts les cœurs ! 
#RencNum #T…", @NicoGlayzon , #OperadeLyon #Groundz #RencNum #T…
519464265150103552,celinesalvetat,07/10/2014 13:28:26,"Contributeurs étaient dans une logique de médiation, pas que communication, certains se sont mis au numérique pr l'occas #RencNum #muzeonum", , #RencNum #muzeonum
519464258409889792,chrystelou,07/10/2014 13:28:25,"RT @sebdaniel: #RencNum #TMNlab T.Leonardi ""Le grand Lyon va héberger la plateforme encore 2 ans. Nous nous réunissons 2 fois / an.""", @sebdaniel , #RencNum #TMNlab 
